_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
raillery	n\nေနာက္ေျပာင္ျခင္း။
rails	n[pl]\nလက္ရန္းမ်ား
railway	n\nမီးရထားသံလမ္း
railways	n[pl]\nမီးရထားသံလမ္းမ်ား
raiment	n\nအဝတ္အစားမ်ား။
rain	n\nမိုး။ မိုးရြာျခင္း။
rain	v\nမိုးရြာသြန္းသည္။
rain boots	n\nမိုးစီးဘြတ္ဖိနပ္
rain coat	n\nမိုးကာအကၤ်ီ
rain coats	n[pl]\nမိုးကာအကၤ်ီမ်ား
rain drop	n\nမိုးစက္မိုးေပါက္
rain drops	n[pl]\nမိုးစက္မိုးေပါက္မ်ား
rain gauge	n\nမိုးေရခ်ိန္တိုင္းကိရိယာ
rain tree	n\nကုကၠိဳပင္
rain-coat	n\nမိုးကာအက်ၤီ။
rainbow	n\nသက္တန္႔။
rainbows	n[pl]\nသက္တန္႔မ်ား
raindrop	n\nမိုးစက္။
rained	v[pt]\nမိုးရြာ
rained	v[pp]\nမိုးရြာခဲ့ျပီး
rainfall	n\nမိုးေရခ်ိန္
rainfalls	n[pl]\nမိုးေရခ်ိန္မ်ား
raining	v[ing]\nမိုးရြာေန
rainless	n\nမိုးေခါင္
rains	n[pl]\nမိုးမ်ား
rains	v[sg]\nမိုးရြာ
rainy	adj\nမိုးသည္းေသာ။
rainy season	n\nမိုးရာသီ
raise	v\nမသည္။ ေျမွာက္သည္။ အျမင့္တက္ေစသည္။
raised	v[pt]\nေထာင္တက္လာခဲ့
raised	v[pp]\nေထာင္တက္လာခဲ့ျပီး
raises	v[sg]\nေထာင္တက္လာ
raisin	n\nစပ်စ္သီးေျခာက္။
raising	v[ing]\nေထာင္တက္လာေန
raj	n\nအုပ္စိုးျခင္း။
Rajah	n\nမဟာရာဂ်ာ။ အိႏၵိယရွင္ဘုရင္။ ေစာ္ဘြား။
rake	n\nထြန္ျခစ္။
rake	v\nထြန္ျခစ္ျဖင့္ ညေအာင္ျပဳလုပ္သည္။
rake-off	n\nအျမတ္အစြန္းရသည့္ေဝစု။
rakish	adj\nအက်င့္စာရိတၱမေကာင္းေသာ။
rally	v\nစုရံုးသည္။ ေနာက္ေျပာင္သည္။
rally	n\nစုရံုးျခင္း။
ram	n\nသိုးထီး။ျဖိဳဖ်က္ရန္ယႏၱရား။
ram	v\nအားျဖင့္ထုရိုက္သည္။
ram-rod	n\nေသနတ္ထိုးတံ
ram-rods	n[pl]\nေသနတ္ထိုးတံမ်ား
Ramadan	n\nမြတ္စလင္မ်ား၏ဥပုသ္လ။
ramble	v\nလွည့္ပတ္သြားလာသည္။
rambunctious	adj\nဆူဆူညံညံျဖစ္ေသာ။
rambutan	n\nၾကက္ေမာက္သီး
ramify	v\nျဖာထြက္သည္။
ramose	adj\nျဖာထြက္ေသာ။
ramp	v\nႏြယ္တက္သည္။ ခုန္ေပါက္ျမဴးတူးသည္။ မတ္တက္ရပ္သည္။
ramp	n\nဆင္ေျခေလွ်ာ။ (GB) ေဈးၾကီးရရန္အတြက္ မရိုးမသားျပဳလုပ္ျခင္း။
rampage	v\nေဒါသထြက္သည္။
rampant	adj\nအပင္မ်ားစြာေပါက္ေသာ။ ခုန္ေက်ာ္ေသာ။ သန္စြမ္းလြန္းေသာ။
rampant	adjective\nထေသာ၊ ေသာင္းက်န္းေသာ၊ ေတာ့ထေသာ
rampart	n\nခံကတုတ္။ တပ္ရိုး။
ramrod	n\nေသနတ္ယမ္းထိုးတံ။
ramshackle	adj\nမခိုင္ခံ့ေသာ။ အိုမင္းေဟာင္းႏြမ္းေသာ။ ျပိဳက်လဳျဖစ္ေသာ။ ျဖစ္ကတတ္ဆန္း ျပဳလုပ္ထားေသာ။
ran	v[pt]\nေျပးခဲ့
ranch	n\nစိုက္ပ်ိဳးေမြးျမဴေရးျခံ။
rancher	n\nစိုက္ပ်ိဳးေမြးျမဴေရးလုပ္ကိုင္သူ။
rancid	adj\nအခ်ဉ္ဓာတ္ေပါက္ေသာ။ ဆေခ်းေစာ္နံေသာ။
rancour	n\nနာက်ည္းျခင္း။
rand	n\nေတာင္အာဖရိကႏိုင္္ငံသံုးေငြ။
random	n\nေရာက္တတ္ရာရာ ရည္မွန္းခ်က္မရိွဘဲ ျပဳလုပ္ျခင္း။
random	adj\nနေမာ္နမဲ့ျပဳလုပ္ေသာ။ ရမ္းသမ္းျပဳလုပ္ေသာ။
randy	adj\nဆူညံေသာ။
ranee	n\nေစာ္ဘြားကေတာ္။
range	n\nအတန္း။ က်ည္ဆံ၊ အေျမာက္ဆံေရာက္ႏိုင္သည့္ အကြာအေဝး။
range	v\nတန္းထားသည္။
ranged	v[pt]\nအစီအရီထားခဲ့
ranged	v[pp]\nအစီအရီထားခဲ့ျပီး
ranger	n\nေတာကိုေစာင့္သည့္အမႈထမ္း။ ျမင္းစီးတပ္သား။ (US)အေသခံတပ္သား။ (GB) ပန္းျခံေစာင့္။
ranges	n[pl]\nအမ်ိဳးမ်ိဳး
ranges	v[sg]\nအစီအရီထား
ranging	v[ing]\nအစီအရီထား
rani	n\nေစာ္ဘြားကေတာ္။
rank	n\nပစၥည္းတန္း။ လူတန္း။ တန္းစီထားသည့္စစ္သားမ်ား။ ရာထူးအဆင့္အတန္း။
rank	v\nတန္းမ်ားအလိုက္ထားသည္။ အဆင့္အတန္းရိွသည္။
ranked	v[pt]\nရာထူးရိွခဲ့
ranked	v[pp]\nရာထူးရိွခဲ့ျပီး
ranker	n\nတပ္သားဘဝမွ အရာရိွျဖစ္လာသူ။
ranker	adj[er]\nပို၍အဆင့္အတန္းရိွ
rankest	adj[est]\nအဆင့္အတန္းအရိွဆံုး
ranking	v[ing]\nရာထူးရိွေန
rankle	v\nတစိမ္႔စိမ္႔နာက်ည္းသည္။
ranks	n[pl]\nအဆင့္အတန္းမ်ား
ranks	v[sg]\nရာထူးရိွ
ransack	v\nေမြေႏွာက္ရွာေဖြသည္။
ransom	n\nျပန္ေပးေရြးရန္ေငြ။
ransom	v\nျပန္ေပးမ်ားေတာင္းထားသည့္ေငြကိုေပး၍ ေရြးသည္။
rant	v\nစကားလံုးၾကီးသည္။ က်ယ္ေလာင္စြာေျပာဆိုသည္။
rap	v\nတေတာက္ေတာက္အသံ ထြက္ေစသည္။
rap	n\nတေတာက္ေတာက္အသံ။
rapacious	adj\nေလာဘၾကီးေသာ။
rape	v\nအားႏွင့္လုယူသည္။ အဓမၼက်င့္သည္။
rape	n\nအဓမၼက်င့္ျခင္း။
raped	v[pt]\nမုဒိမ္းက်င့္ခဲ့
raped	v[pp]\nမုဒိမ္းက်င့္ခဲ့ျပီး
rapes	n[pl]\nမုဒိမ္းမႈမ်ား
rapes	v[sg]\nမုဒိမ္းက်င့္
rapid	adj\nလ်င္ျမန္ေသာ။ (ဆင္ေျခေလွ်ာ)မတ္ေစာက္ေသာ။
rapid	n\n(US)ေရစီးသန္သည့္အရာ။
rapider	adj[com]\nပို၍ျမန္ဆန္
rapidest	adj[sup]\nအျမန္ဆန္ဆံုး
rapidity	n\nလ်င္ျမန္ျခင္း။
rapidly	adv\nလ်င္ျမန္စြာ။
rapids	n\nျမစ္၏ေရစီးသန္သည့္ေနရာ။
rapids	n[pl]\nလွ်န္ျမန္ေသာအဟုန္မ်ား
rapier	n\nဓားရွည္အေပါစား။
rapine	n\nလုယက္ဖ်က္ဆီးျခင္း။
raping	v[ing]\nမုဒိမ္းက်င့္ေန
rapist	n\nအဓမၼက်င့္သူ။
rapport	n\nအျပန္အလွန္ခင္မင္နားလည္မူ။
rapprochement	n\nအသစ္တဖန္ျပန္လည္သင့္ျမတ္သြားျခင္း။
rapscallion	n\nလူယုတ္မာ။
rapt	adj\nအာရံုစိုက္ေနေသာ။
raptorial	adj\nအတင္းအဓမၼလုယူေသာ။ ဥပေဒျဖင့္ သိမ္းဆည္းေသာ။
rapture	n\nပီတိ။
rare	adj\nရွားပါးေသာ။ ၾကံဳေတာင့္ၾကံဳခဲျဖစ္ေသာ။
rarefy	v\nသိပ္သည္းမႈပါးလႊာေစသည္။
rarely	adv\nၾကံဳေတာင့္ၾကံဳခဲ။ ရွားရွားပါးပါး။
rarer	adj[com]\nပို၍ရွားပါး
rarest	adj[sup]\nအရွားပါးဆံုး
raring	adj\nစိတ္အားထက္သန္ေနေသာ။
rarity	n\nရွားပါးသျဖင့္ ေဈးၾကီးသည့္အရာ။
rascal	n\nလူလိမ္လူေကာက္။
rascally	adj\nလိမ္ေကာက္ေသာ။
rash	adj\nမစဉ္းစားဘဲျပဳလုပ္ေသာ။
rash	n\nအဖုအပိမ္႔ထြက္ျခင္း
rasher	n\nပါးပါးလီွးထားသည့္ ဝက္ေပါင္ေျခာက္ အလႊာ။
rasher	adj[er]\nပို၍မဆင္မျခင္ျပဳလုပ္
rashers	n[pl]\nဝက္ေပါင္ေျခာက္အသားလႊာမ်ား
rashes	n[pl]\nအဖုအပိမ္႔ထြက္ျခင္းမ်ား
rashest	adj[est]\nပို၍မဆင္မျခင္ျပဳလုပ္
rashly	adv\nမိုက္ကန္းကန္း။
rashness	n\nမစဉ္းစားဘဲျပဳလုပ္ျခင္း။
rasp	n\nတံစဉ္းၾကမ္း။ တံစဉ္းျဖင့္
rasp	v\nတံစဉ္းျဖင့္တိုက္သည္။
raspberry	n\nဆီးျဖဴႏွင့္တူသည့္ ႏြယ္ပင္သီး။
rasper	n\nက်ားလ်ာ။ တံစဉ္းၾကမ္း။
rasping	adj\nနားျငီးေသာ။
rat	n\nၾကြက္။
rat	v\nၾကြက္မ်ားကို လိုက္လံဖမ္းဆီးသည္။ ကတိဖ်က္သည္။
rat	fig\nသစၥာေဖာက္။
rat-snake	n\nလင္းေျမြ
ratable	adj\nအခြန္အတုပ္ေကာက္ႏိုင္ေလာက္ေသာ။
ratchet	n\nအထိန္းပါရိွသည့္ ေခြးသြားစိပ္။
rate	n\nစံနႈန္း၊ နႈန္းထား။
rate	v\nတန္ဖိုးျဖတ္သည္။ တန္ဖိုးသတ္မွတ္သည္။ အျပစ္တင္သည္။
rated	v[pt]\nတန္ဖိုးခန္႔မွန္းခဲ့
rated	v[pp]\nတန္ဖိုးခန္႔မွန္းခဲ့ျပီး
ratepayer	n\nအခြန္ထမ္း။ အခြန္ထမ္းေဆာင္ရြက္သူ။
rates	n[pl]\nအခ်ိဳးအစားမ်ား
rates	v[sg]\nတန္ဖိုးခန္႔မွန္း
rather	adv\nအေတာ္အသင့္။
ratification	n\nသေဘာတူညီခ်က္ကို အတည္ျပဳလက္မွတ္ေရးထိုးျခင္း။
ratify	v\nသေဘာတူညီခ်က္ကို အတည္ျပဳလက္မွတ္ေရးထိုးသည္။
rating	n\nအကဲျဖတ္ျခင္း။ တန္ဖိုးျဖတ္ျခင္း။ သတ္မွတ္ျခင္း။
rating	v[ing]\nတန္ဖိုးခန္႔မွန္းေန
ratio	n\nအခ်ိဳးအစား။
ratiocinate	v\nဆင္ျခင္စဉ္းစားသည္။
ratiocination	n\nစနစ္တက် ဆင္ျခင္မႈ။
ration	n\nစားနပ္ရိကၡာ။
ration	v\nရိကၡာေပးသည္။
rational	adj\nက်ိဳးေၾကာင္းဆက္စပ္ႏိူင္ေသာ။
rationale	n\nအေျခခံအေၾကာင္း။
rationalism	n\nက်ိဳးေၾကာင္းအေပၚလံုးဝယံုၾကည္ထားသည့္အယူအဆ။
rationalist	n\nက်ိဳးေၾကာင္းအေပၚလံုးဝယံုၾကည္ထားသည့္အယူအဆရိွသူ။
rationalistic	adj\nက်ိဳးေၾကာင္းအေပၚလံုးဝယံုၾကည္ထားသည့္အယူအဆျဖစ္ေသာ။
rationalize	v\nက်ိဳးေၾကာင္းသင့္ရွင္းျပသည္။
rationally	adv\nက်ိဳးေၾကာင္းဆက္စပ္ႏိူင္၍။
ratios	n[pl]\nအခ်ိဳးမ်ား
ratlin	n\nေလွခါးသဖြယ္ သံုးသည့္ၾကိဳး။
rats	n[pl]\nၾကြက္ဝမ္းျဖဴမ်ား
rats	v[sg]\nတန္ဖိုးခန္႔မွန္း
rattan	n\nၾကိမ္ပင္။
rattans	n[pl]\nၾကိမ္ပင္
ratted	v[pt]\nကတိဖ်က္ခဲ့
ratted	v[pp]\nကတိဖ်က္ခဲ့ျပီး
ratter	n\nၾကြက္မ်ားကိုဖမ္းဆီးသတ္ျဖတ္သည့္ လူ (သို႔) ေၾကာင္ (သို႔) ေခြး။
ratting	v[ing]\nကတိဖ်က္ေန
rattle	v\nအသံကိုအဆက္မျပတ္ထြက္ေစသည္။
rattle	n\nအဆက္မျပတ္ထြက္ေပၚသည့္အသံ။ စကားတတြတ္တြတ္ေျပာျခင္း။
rattle-snake	n\nေျမြခေလာက္
rattle-snakes	n[pl]\nေျမြခေလာက္မ်ား
raucous	adj\nက်ယ္ေလာင္၍ စူးရွသည့္အသံရိွေသာ။
ravage	v\nဖ်က္ဆီးသည္။
ravage	n\nဖ်က္ဆီးျခင္း။ ပ်က္ဆီးျခင္း။
rave	v\nေဒါႏွင့္ေမာႏွင့္ ေျပာသည္။ ကေယာင္ေျခာက္ျခားေျပာသည္။
ravel	v\nၾကိဳးထံုးေျဖသည္။
raven	n\nက်ီးကန္း။ လုယက္ျခင္း။ လုယူျခင္း။
raven	v\nလုယူသည္။ လုစားသည္။ ငမ္းငမ္းတက္ျဖစ္သည္။
raven	adj\nမဲ၍ေျပာင္လက္သည့္အေရာင္ရိွေသာ။
ravening	n\nလုယက္ျခင္း။ ငမ္းငမ္းတက္လုယက္ျခင္း။
ravening	adj\nၾကမ္းတမ္းေသာ။
ravenous	adj\nအလြန္ဆာေလာင္မြတ္သိပ္ေသာ။
ravens	n[pl]\nေတာက်ီးကန္းမ်ား
ravine	n\nလွ်ိဳေျမာင္။
ravish	v\nဖမ္းဆီးသယ္ယူသည္။ အတင္းအၾကပ္ယူသည္။ အတင္းအၾကပ္ အဓမၼက်င့္သည္။
ravishing	n\nအတင္းအၾကပ္ယူျခင္း။ အတင္းအၾကပ္ အဓမၼက်င့္ျခင္း။ လုယူျခင္း။
raw	adj\nမက်က္ေသာ။ မခ်က္ျပဳတ္ရေသးေသာ။ အရိုင္းျဖစ္ေသာ။
raw	n\nအၾကမ္းထည္ေသာ၊ကုန္ၾကမ္းပစၥည္း
raw prawn fish	n\nငါးပိစိမ္းစား
rawer	adj[com]\nမျပဳျပင္ရေသး
rawest	adj[sup]\nမျပဳျပင္ရေသး
raws	n[pl]\nငါးပိစိမ္းစားမ်ား
ray	n\nေရာင္ျခည္။
ray	v\nေရာင္ျခည္ထြက္သည္။
rayon	n\nေရယြန္ပိုးတု။
rays	n[pl]\nငါးလိပ္ေက်ာက္မ်ား
raze	v\nျပားျပားဝပ္ ပ်က္ဆီးေစသည္။
razor	n\nသင္တုန္းဓား။
razor blade	n\nဘလိတ္ဒါး
razoredge	n\nသင္တုန္းဓားသြား။
razors	n[pl]\nသင္တုန္းဓားမ်ား
re	prefix\nတဖန္။ အျခားနည္းလမ္းျဖင့္။
re-count	v\nျပန္၍ေရတြက္သည္။
re-count	n\nျပန္၍ေရတြက္ျခင္း။
re-cover	v\nအဖံုးအသစ္ျပန္၍တပ္သည္။
re-echo	v\nပဲ့တင္သံ ထပ္တလဲလဲ ျဖစ္ေပၚသည္။
re-entry	n\nျပန္လည္ဝင္ေရာက္ျခင္း။
reach	v\nေရာက္ရိွသည္။ လက္လွမ္းသည္။
reach	n\nလက္လွမ္းျခင္း။ လက္လွမ္းႏိုင္သည့္ အကြာအေဝး။
react	v\nထေရာက္မႈရိွသည္။ တံု႔ျပန္သည္။
reacted	v[pt]\nဆိုက္ေရာက္ခဲ့
reacted	v[pp]\nဆိုက္ေရာက္ခဲ့ျပီး
reactin	v[ing]\nဆိုက္ေရာက္ေန
reaction	n\nတံု႔ျပန္မႈ၊ တိုးတက္မႈကိုမလိုလားျခင္း။
reactionary	adj\nတံု႔ျပန္မႈ၊ တိုးတက္မႈကိုမလိုလားေသာ။
reactions	n[pl]\nတံု႔ျပန္ခ်က္မ်ား
reactor	n\nဓာတ္ေပါင္းဖို။
reactors	n[pl]\nအဏုျမဴဓာတ္ေပါင္းဖိုမ်ား
reacts	v[sg]\nဆိုက္ေရာက္
read	v\nစာဖတ္သည္။ ဘာသာရပ္တစ္ခုခုကို ေလ့လာသည္။
read	v[pt]\nစာဖတ္ခဲ့
read	v[pp]\nစာဖတ္ခဲ့ျပီး
readable	adj\nစာဖတ္ရန္သင့္ေတာ္ေသာ။
readdress	v\nလိပ္စာျပန္ေျပာင္းတပ္သည္။
reader	n\nစာဖတ္သူ။ (GB) ကထိက။ ဖတ္စာအုပ္။
readers	n[pl]\nကထိကမ်ား
readily	adv\nအဆင္သင့္ျဖစ္စြာ။
readiness	n\nအဆင္သင့္ျဖစ္ျခင္း။
reading	n\nစာဖတ္ျခင္း။ စာေပဗဟုသုတ။ အဓိပၸါယ္ျပန္ဆိုခ်က္။
reading	v[ing]\nစာဖတ္ေန
readings	n[pl]\nစာဖတ္ျခင္းမ်ား
readjust	v\nျပန္၍ျပဳျပင္ထားသည္။
reads	v[sg]\nစာဖတ္
ready	adj\nအဆင္သင့္ျဖစ္ေသာ။
real	adj\nစစ္မွန္ေသာ။
realer	adj[com]\nပို၍စစ္မွန္
realest	adj[sup]\nအစစ္မွန္ဆံုး
realism	n\nယထာဘူတဝါဒ။ သရုပ္မွန္ဝါဒ။
realistic	adj\nလက္ေတြ႔ ျဖစ္ျခင္း။
realities	n[pl]\nလက္ေတြ႔က်ျခင္းမ်ား
reality	n\nအမွန္တကယ္ျဖစ္ျခင္း။ တကယ္ရိွသည့္အရာ။
realization	n\nနားလည္သေဘာေပါက္ျခင္း။
realize	v\nနားလည္သေဘာေပါက္သည္။ လက္ေတြ႔ အေကာင္အထည္ေဖာ္သည္။
really	adv\nအမွန္စင္စစ္။
realm	n\nႏိုင္ငံေတာ္။ နယ္ပယ္။
realty	n\nအိုးအိမ္ အေဆာက္အဦး။ အိမ္ယာ။ ျခံေျမ။
ream	n\nစကၠူရြက္ေရ ၄၈၀။ အေမရိကန္ရြက္ေရ ၅၀ဝ ပါသည့္ စကၠူထုပ္။
reamer	n\nအေပါက္ ေဖာက္၊ ခ်ဲ႕ရန္ ကိရိယာတန္ဆာပလာ။
reanimate	v\nအားသစ္မာန္သစ္ဝင္သည္။ ျပန္လည္အားတက္ၾကြေစသည္။
reap	v\nသီးႏံွကိုရိတ္သိမ္းသည္။
reaper	n\nေကာက္ရိတ္သိမ္းသူ။ ေကာက္ရိတ္သိမ္းသည့္စက္။
reaping-hook	n\nတံစဉ္။
reapper	n\nျပန္လည္ေပၚထြန္းလာသည္။
rear	n\nေနာက္ပိုင္း။
rear	attrib\nေနာက္ဘက္၌။ ေပါက္ေရာက္ေစသည္။ မသည္။ ေျမွာက္သည္။ ေထာင္သည္။
rear-guard	n\nေနာက္ပိုင္းအေစာင့္တပ္
rearm	v\nလက္နက္ျပန္လည္ တပ္ဆင္သည္။
rearmament	n\nလက္နက္ျပန္လည္ တပ္ဆင္ျခင္း။
rears	n[pl]\nေနာက္ေဖးမ်ား
rearwards	adv\nေနာက္ဘက္သို႔။
reason	n\nအက်ိဳးအေၾကာင္း။
reason	v\nဆင္ျခင္သံုးသပ္သည္။
reasonable	adj\nသဘာဝက်ေသာ။
reasonably	adv\nအက်ိဳးသင့္အေၾကာင္းသင့္။
reasoning	n\nအက်ိဳးသင့္အေၾကာင္းသင့္ စဉ္းစားေတြးေခၚျခင္း။
reasonless	adj\nမစဉ္းစား မဆင္ျခင္ႏိုင္ေသာ။
reasons	n[pl]\nအေၾကာင္းျပခ်က္မ်ား
reassure	v\nသံသယကို ေပ်ာက္ေစသည္။
rebate	n\nေလ်ာ႔ေငြ။
rebel	n\nသူပုန္။
rebel	v\nပုန္ကန္ထၾကြသည္။
rebellion	n\nပုန္ကန္ထၾကြျခင္း။
rebellious	adj\nပုန္ကန္ထၾကြေသာ။
rebelliously	adv\nပုန္ကန္ထၾကြလ်က္။
rebelliousness	n\nပုန္ကန္လိုျခင္း။
rebind	n\nျပန္လည္ခ်ဳပ္သည္။ (စာအုပ္)
rebirth	n\nျပန္လည္ေမြးဖြားရွင္သန္ျခင္း။
reborn	adj\nဘာသာအယူဝါဒေရး စိတ္လံုးလံုး လ်ားလ်ား ေျပာင္းလဲခဲ့ေသာ။ ျပန္လည္ရွင္သန္လာေသာ။ ျပန္လည္ ဆန္းသစ္လာေသာ။
rebound	v\nထိျပီးျပန္ခုန္သည္။
rebuff	n\nအသနားခံမႈကို ျငင္းဆန္ျခင္း။
rebuff	v\nျပန္၍ခုခံသည္။ ျပန္၍ရိုက္ပုတ္သည္။
rebuild	v\nျပန္လည္တည္ေဆာက္သည္။
rebuke	v\nျပင္းထန္စြာ အျပစ္တင္သည္။
rebuke	n\nျပင္းထန္စြာ အျပစ္တင္ျခင္း။
rebukingly	adv\nျပစ္တင္လ်က္။
rebus	n\nပေဟဠိရုပ္ပံု။
rebut	v\nျပန္လည္ေျခပသည္။
recalcitrant	adj\nကလန္ကဆန္လုပ္ေသာ။
recall	v\nျပန္လည္ဆင့္ေခၚသည္။ ျပန္လည္ေတြးေတာသည္။ ျပန္လည္ဆင့္ေခၚျခင္း။ မွတ္ဉာဏ္။
recalled	v[pt]\nမွတ္ညဏ္ေကာင္းခဲ့
recalled	v[pp]\nမွတ္ညဏ္ေကာင္းခဲ့ျပီး
recalling	v[ing]\nမွတ္ညဏ္ေကာင္းေန
recalls	v[sg]\nမွတ္ညဏ္ေကာင္း
recant	v\nစြန္႔လႊတ္သည္။
recap	v\nပြန္းေနသည္တာယာကို ပန္းျပန္တင္သည္။
recapitulate	v\nအဓိကအခ်က္အလက္မ်ားကို အခ်ဳပ္ျပန္လည္တင္ျပသည္။
recapture	n\nျပန္လည္ရယူသိမ္းပိုက္ျခင္း။
recapture	v\nျပန္လည္ဖမ္းမိသည္။
recast	v\nရုပ္လံုးသစ္ေဖာ္သည္။
recede	v\nျပန္၍ေလွ်ာသည္။ ေနာက္ျပန္က်သည္။
receipt	n\nလက္ခံရရိွျခင္း။
receipt	v\nေငြ သို႔မဟုတ္ ကုန္ရရိွေၾကာင္းကို တံဆိပ္ေခါင္းေပၚ၌ လက္မွတ္ထိုး၍ ေပးသည္။
receipts	n[pl]\nလက္ခံရရိွျခင္း
receivable	adj\nလက္ခံရရိွႏိုင္ေသာ။
receive	v\nလက္ခံရရိွသည္။
received	v[pt]\nလက္ခံခဲ့
received	v[pp]\nလက္ခံခဲ့ျပီး
receiver	n\nခံယူသူ။ လက္ခံသူ။ တယ္လီဖုန္းစကားေျပာခြက္မွ နားေထာင္သည့္ ကိရိယာ။
receivers	n[pl]\nပစၥည္းထိန္းမ်ား
receives	v[sg]\nလက္ခံ
receiving	v[ing]\nလက္ခံေန
recent	adj\nမၾကာေသးခင္ကျဖစ္ေသာ။
recently	adv\nမၾကာေသးမီက။
receptacle	n\nထည့္စရာ (အိုးခြက္စသည့္)။
reception	n\nလက္ခံျခင္း။ တရားဝင္ လက္ခံေတြ႔ဆံုျခင္း။ အသံဖမ္းျခင္း။
reception clerk	n\nဧည့္ၾကိဳစာေရး
receptionist	n\nခရီးဦးၾကိဳျပဳသူ။
receptionists	n[pl]\nဧည့္ၾကိဳဌာနမ်ား
receptions	n[pl]\nဧည့္ခံပဲြမ်ား
receptive	adj\nလက္ခံရန္အသင့္ျဖစ္ေသာ။
receptivity	n\nလက္ခံရရိွျခင္း။
receptor	n\nထည့္စရာ
receptors	n[pl]\nထည့္စရာမ်ား
recess	n\nရပ္နားခ်ိန္။ အလုပ္ရပ္နားျခင္း။ နံရံလိုဏ္ေခါင္းေလး။ လွ်ိဳ႕ဝွက္သည့္ေနရာ။
recess	v\nလွ်ိဳ႕ဝွက္သည့္ ေနရာ၌ထားသည္။
recession	n\nရုပ္သိမ္းျခင္း။
recessional	adj\nေခတၱနားခ်ိန္ ႏွင့္ဆိုင္ေသာ။
recessions	n[pl]\nစီးပြားေရးက်ဆင္းမႈမ်ား
recessive	adj\nေနာက္ျပန္ဆုတ္လိုစိတ္ရိွေသာ။
recherche	adj\nထူးျခားစြာ ဆြေဆာင္မႈရိွေသာ။ လက္ေရြးစင္ျဖစ္ေသာ။
recipe	n\nေဖာ္စပ္နည္း။ ေဆးစပ္ရန္အၫြန္း။
recipient	n\nတစ္စံုတစ္ရာကို လက္ခံရရိွသူ။
reciprocal	adj\nအျပန္အလွန္ျဖစ္ေသာ။
reciprocate	v\nအျပန္အလွန္ ေပးကမ္းသည္။
reciprocity	n\nအေပးအယူ။
recital	n\nဇာတ္လမ္းရွည္ကို အေသးစိတ္ တင္ျပျခင္း။ ျပန္ေျပာျပျခင္း။
recitation	n\nရြတ္ဆိုျခင္း။ အလြတ္ရြတ္ျပျခင္း။
recitative	adj\nအဆိုအေျပာ ဇာတ္လမ္းဇာတ္ကြက္။
recite	v\nအလြတ္ရြတ္ျပသည္။
reck	v\nဂရုစိုက္သည္။
reckless	adj\nက်ိဳးေၾကာင္းမစဉ္းစားေသာ။ အေလးမထားေသာ။
recklessly	adv\nအရမ္းမဲ့။
recklessness	n\nအရမ္းမဲ့ျပဳျခင္း။
reckon	v\nေရတြက္သည္။ တြက္ခ်က္သည္။
reckoned	v[pt]\nလက္ခံထားခဲ့
reckoned	v[pp]\nလက္ခံထားခဲ့ျပီး
reckoner	n\nတြက္ခ်က္ျပီးသား စာရင္း။ တြက္ခ်က္ျခင္း။
reckoning	v[ing]\nလက္ခံထား
reckons	v[sg]\nလက္ခံထား
reclaim	v\nေၾကးရိုင္းကိုျပဳျပင္သည္။
recline	v\nမီွသည္။ လေလ်ာင္းသည္။
recluse	n\nရေသ့။
recoder	n\nအသံဖမ္းစက္။ ဓာတ္ျပားသြင္းစက္။
recoding	n\nမွတ္တမ္းတင္ျခင္း။ ရုပ္သံသြင္းယူထားျခင္း။
recognition	n\nအသိအမွတ္ျပဳျခင္း။
recognizable	adj\nမွတ္မိႏိုင္ေသာ။
recognizably	adv\nမွတ္မိလ်က္။
recognizance	n\nအသိအမွတ္ျပဳျခင္း။ ဝန္ခံျခင္း။ အာမခံထားျခင္း။
recognize	v\nမွတ္မိသည္။ သတိရသည္။ သေၾကာင္းေျပာၾကားသည္။ အသိအမွတ္ျပဳသည္။
recognized	v[pt]\nမွတ္မိခဲ့
recognized	v[pp]\nမွတ္မိခဲ့ျပီး
recognizes	v[sg]\nမွတ္မိ
recognizing	v[ing]\nမွတ္မေန
recoil	v\nတြန္႔ဆုတ္သည္။ ေနာက္သို႔ျပန္ကန္သည္။
recollect	v\nျပန္လည္ေတြးေတာသည္။ မွတ္မိသည္။
recollection	n\nသတိရျခင္း။ ျပန္လည္သတိရေစသည့္အရာ။
recommed	v\nေကာင္းမြန္ သင့္ေလ်ာ္ေၾကာင္း ေထာက္ခံခ်က္ေပးသည္။
recommend	v\nအၾကံျပဳေထာက္ခံ
recommendation	n\nေထာက္ခံခ်က္။
recommendations	n[pl]\nေထာက္ခံခ်က္မ်ား
recommended	v[pt]\nအၾကံျပဳေထာက္ခံခဲ့
recommended	v[pp]\nအၾကံျပဳေထာက္ခံခဲ့ျပီး
recommending	v[ing]\nအၾကံျပဳေထာက္ခံေန
recommends	v[sg]\nအၾကံျပဳေထာက္ခံ
recompense	v\nဆုေပးသည္။ ဒဏ္ေပးသည္။
reconcile	v\nျပန္၍သင့္ျမတ္ေစသည္။
recondite	adj\nခက္ခဲနက္နဲ သိမ္ေမြ႔ေသာ။
recondition	v\nျပန္လည္ျပဳျပင္သည္။
reconnaissance	n\nရန္သူဘက္သို႔ ကင္းေထာက္ျခင္း။
